,Datetime,Tweet Id,Text,Replies,Likes,Retweets,Quote Retweets,URL,Intentionally left blank,Username,Display Name,Raw Description,Rendered Description,Verified?,Date Created,Followers Count
30,2020-02-01 08:18:12+00:00,1223520913112485889,@News5AKSYON Huwag damayan ang Kadamay. Iba ang pakay ng mga fronts ng Komunista. May namatay ba sa Inyo? May na infect ba?,0,2,0,0,https://twitter.com/franckylime/status/1223520913112485889, ,franckylime,francky lime,,,False,2012-05-17 12:19:36+00:00,136
31,2020-04-20 10:06:23+00:00,1252176779218808832,@frankcastle1941 Kadamay yun na doktrina ng komunista mga kaawaawang tanga..,0,0,0,0,https://twitter.com/BakutezaBd/status/1252176779218808832, ,BakutezaBd,BdBakuteza,,,False,2020-02-18 13:03:39+00:00,6
32,2020-04-17 12:47:27+00:00,1251130149782708224,@Pi64972447 Oo nga! Kaya si kiko nagbayad ng pyansa sa mga kadamay na nakulong dahil isa rin pala siyang komunista.,0,1,0,0,https://twitter.com/romy622/status/1251130149782708224, ,romy622,Romy✌🏻♥️🇵🇭👊🏻💚,You can never win an argument with an IDIOT!,You can never win an argument with an IDIOT!,False,2014-04-20 23:19:39+00:00,1031
33,2020-04-16 06:34:51+00:00,1250673995134820353,"@ianrobles_ Palibhasa protector ng Komunista, ayaw nilabg umayos buhay nating law abiding citizens, si Kiko, kasama buong pamilya, Nagbayad ng pyansa ngga miembro ng Kadamay na nanggulo sa. Bo. Sa Roque at sa lahat bg mahuhuli na lumalabag sa batas pero WalangAmbagSaCOVID19, pareho niHntvros",0,1,0,0,https://twitter.com/MamTessCD/status/1250673995134820353, ,MamTessCD,Teresita Curato-Dapoc,,,False,2017-12-17 05:33:19+00:00,1082
34,2020-04-13 09:29:57+00:00,1249630897143312384,"@JiBotzky @raincyrainy At paano sinusuklian ng detractors ng DU30 admin ang mahal nating pangulo, Pinapanalangin mamatay, sumasali sa rallies mga scholar ng bayan kasama lider ng komunista, nangaagaw ng bahay mga 4PS na miembro ng Kadamay, number one pasaway mga taong gobyerno na mga dilawan, oligarks",0,4,2,0,https://twitter.com/MamTessCD/status/1249630897143312384, ,MamTessCD,Teresita Curato-Dapoc,,,False,2017-12-17 05:33:19+00:00,1082
35,2020-04-03 15:26:36+00:00,1246096770326614017,@teddycasino @inquirerdotnet Ulol! Pakana ng komunista ang rally sa QC. Mga KADAMAY members ang karamihan na nanduon kaya nagalit si presidente at nag order ng shoot to kill sa mga komunista. Kasi gusto nila maghasik ng gulo. Sinasamantala nila na may problema ang bansa at ginagamit ang mga mahihirap.,0,0,0,0,https://twitter.com/vladskymir/status/1246096770326614017, ,vladskymir,iam_me,Husband | Father | Catholic | Marian | Online Debater | Rationalist | Logical Thinker | Worked at Judiciary,Husband | Father | Catholic | Marian | Online Debater | Rationalist | Logical Thinker | Worked at Judiciary,False,2011-07-13 04:59:59+00:00,13
36,2020-04-03 15:10:59+00:00,1246092842469953541,"San Roque nga sinabihan ni Alan. Jesus Christ lahat na lang ba nang mag ""ririot"" dahil sa kagutuman komunista, leftist, npa, or kadamay. Ganun ba kaliit utak ng Duterte supporters???",0,0,0,0,https://twitter.com/Ariaaaamm/status/1246092842469953541, ,Ariaaaamm,Aria,IR and Politics | lagi't lagi para sa bayan ✊🇵🇭🏳️‍🌈 | my tweets dont represent anyone,IR and Politics | lagi't lagi para sa bayan ✊🇵🇭🏳️‍🌈 | my tweets dont represent anyone,False,2014-11-06 12:47:57+00:00,359
37,2020-04-03 13:44:24+00:00,1246071051932450816,@natoreyes Tama lang sinabi ni Ano. Para madala na kayong mga komunista. Meron na nga health crisis sa bansa wala na kayong inaatupag kundi gamitin mga mahihirap sa mga kalokohan ninyo. Actually mga Kadamay ang mga yan yung mga komunistang nang aagaw ng mga bahay na hindi kanila. Mga animel,1,8,2,0,https://twitter.com/JaredXenos/status/1246071051932450816, ,JaredXenos,jared zane xenos,"Engineer, consultant, builder, world traveler, photographer, artist, patriot","Engineer, consultant, builder, world traveler, photographer, artist, patriot",False,2013-02-01 14:09:27+00:00,181
38,2020-04-03 01:13:02+00:00,1245881964260757504,"@KumeSalud @ilda_talk tbh npa leftists kadamay komunista lang naman ang takot na takot sa shoot to kill order ni duterte parang ung mga adik at pusher
Let's #HealAsOne and #ProtectTheRepublic by #StandWithDuterte
#DutertePaRin
#istandwithduterte
#YesToABSCBNShutDown",0,0,0,0,https://twitter.com/n4n4daim3/status/1245881964260757504, ,n4n4daim3,IAmIntrovert_mj,"99% dedicated feed #Duterte 👊🏻 #BBM ✌🏻
Follow all 🇵🇭Govt socmed accounts.
Bardagulero but ain't a clout-chaser.
Twitter is toxic. Enter at your own risk.","99% dedicated feed #Duterte 👊🏻 #BBM ✌🏻
Follow all 🇵🇭Govt socmed accounts.
Bardagulero but ain't a clout-chaser.
Twitter is toxic. Enter at your own risk.",False,2010-11-26 03:29:03+00:00,1116
39,2020-04-02 11:07:15+00:00,1245669116674863104,@_nyaaaw Nakita ko 'yon ma jusko. Sinisi pa 'yong mga KADAMAY. I know abt the issue last time pero hindi ganun katanga 'yong mga taong 'yon para lumabas at ilagay sa risk buhay nila dahil lang sa komunista sila. Nagugutom sila.,1,1,0,0,https://twitter.com/matcharua/status/1245669116674863104, ,matcharua,mavi | vote zhanghao,'02 | he/him | civil eng | #HEESEUNG #ZHANGHAO,'02 | he/him | civil eng | #HEESEUNG #ZHANGHAO,False,2016-06-27 11:10:45+00:00,304
